hour,timestamp,SPWH_favourableWeather
0,0,UNVAFOURABLE
0.5,1800,UNVAFOURABLE
1,3600,UNVAFOURABLE
1.5,5400,UNVAFOURABLE
2,7200,UNVAFOURABLE
2.5,9000,UNVAFOURABLE
3,10800,UNVAFOURABLE
3.5,12600,UNVAFOURABLE
4,14400,UNVAFOURABLE
4.5,16200,UNVAFOURABLE
5,18000,UNVAFOURABLE
5.5,19800,UNVAFOURABLE
6,21600,UNVAFOURABLE
6.5,23400,UNVAFOURABLE
7,25200,UNVAFOURABLE
7.5,27000,UNVAFOURABLE
8,28800,UNVAFOURABLE
8.5,30600,UNVAFOURABLE
9,32400,FAVOURABLE
9.5,34200,FAVOURABLE
10,36000,UNVAFOURABLE
10.5,37800,FAVOURABLE
11,39600,FAVOURABLE
11.5,41400,FAVOURABLE
12,43200,UNVAFOURABLE
12.5,45000,FAVOURABLE
13,46800,FAVOURABLE
13.5,48600,UNVAFOURABLE
14,50400,FAVOURABLE
14.5,52200,FAVOURABLE
15,54000,FAVOURABLE
15.5,55800,UNVAFOURABLE
16,57600,UNVAFOURABLE
16.5,59400,FAVOURABLE
17,61200,UNVAFOURABLE
17.5,63000,UNVAFOURABLE
18,64800,UNVAFOURABLE
18.5,66600,UNVAFOURABLE
19,68400,UNVAFOURABLE
19.5,70200,UNVAFOURABLE
20,72000,UNVAFOURABLE
20.5,73800,UNVAFOURABLE
21,75600,UNVAFOURABLE
21.5,77400,UNVAFOURABLE
22,79200,UNVAFOURABLE
22.5,81000,UNVAFOURABLE
23,82800,UNVAFOURABLE
23.5,84600,UNVAFOURABLE